id;platformandroid;platformios;userid;platformname;devicemanufacturer;devicemodel;deviceabis;sdkversionname;sdkversioncode;romname;romversion;screenwidth;screenheight;appscreenwidth;appscreenheight;screendensitydpi;screendensity;appversionname;appversioncode;isroot
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;61838;19967;38246;51423;98323;Canyon HDD;Table Small Frozen Sausages Planner;envisioneer Music Public-key;false
2;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical;bifurcated scalable;16526;7455;1563;98688;42340;reinvent 24 hour Jewelery;monitor;1080p Checking Account Identity;true
3;Internal;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;69478;16122;88046;92969;62435;modular Refined Squares;maroon;EXE projection Fresh;false
4;Direct;Profit-focused;Jewelery cutting-edge;Games;Iraq Bedfordshire;Concrete 24/7 Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;3305;27864;34507;90826;63435;Canadian Dollar;Berkshire Designer;Credit Card Account;false
5;24/7 Re-contextualized cross-platform;invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216;55520;51663;52965;26082;Executive;Customer Human deposit;even-keeled Saint Helena Pound;true
6;SCSI drive THX;Unbranded Cheese Dynamic;Alabama transform;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;local area network Benin;turn-key dedicated;Wisconsin;97889;39309;48674;89204;90609;users dot-com;North Dakota Cambridgeshire;Re-contextualized;false
7;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;compressing;Bedfordshire;Maryland Configuration;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;70891;35949;55281;29359;29651;schemas Synergistic Personal Loan Account;Avon;Auto Loan Account olive;false
8;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;13274;97585;96953;51630;71459;Licensed Cotton Ball;mindshare Gorgeous;Chips;false
9;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;alarm Jamaica;system Gorgeous Rubber Pants;hack;leading-edge;Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;withdrawal Generic Frozen Tuna;88668;4530;26089;37461;1530;Optimization Cambridgeshire;payment Soap;Web;true
10;COM;Data North Dakota;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;Handcrafted Plastic Shirt quantifying;wireless;hybrid;Solomon Islands Dollar;34833;62894;93664;87747;3918;schemas Specialist China;quantify multi-byte;interface Cotton Robust;true
