id;userid;balance;usablebalance;frozenbalance;couponsum;integral;creator;createdate;modifier;modifierdate;modifiernum;logicdelete;other
1;East Caribbean Dollar Nepalese Rupee lavender;navigating Guarani;Incredible deposit;Checking Account utilisation AI;USB primary Iowa;Refined withdrawal copy;Kuwaiti Dinar solid state program;help-desk SAS embrace;Nigeria;firmware;63020;false;mesh Iceland Krona
2;Jordan Savings Account;deploy Advanced;New Mexico;Pakistan Rupee;connect Berkshire;XSS Suriname;Lead cross-platform;enable;Moldova Operative;Investment Account generate;81298;true;capacitor Andorra overriding
3;Outdoors deposit;Functionality invoice streamline;Applications;yellow Shoes;Open-source multi-tasking;Data;Moldova archive;monitor morph;networks Granite Computer;CSS haptic Fish;29527;false;Georgia Universal Group
4;Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;Secured olive;Shirt next-generation;Legacy efficient Exclusive;definition transmitter navigating;Trinidad and Tobago Dollar Licensed Savings Account;interfaces Mouse;bus;86279;false;Bermuda
5;Home;Phased sky blue;Exclusive benchmark;Sleek Wooden Chips bi-directional;Russian Ruble deploy;Roads feed;Director;bypassing;array Virginia;bypass;26489;false;Investor maroon
6;one-to-one;extensible Practical Granite Bacon;Turkish Lira;Profit-focused;system-worthy Credit Card Account;Denmark hub collaboration;Tasty Cotton Tuna efficient Producer;Hill Awesome Rubber Computer;Directives payment override;Indonesia;9667;false;synthesizing Garden
7;invoice;Via enhance Cotton;Chair Producer Accounts;Switchable Kyat;Money Market Account;1080p;Rubber connecting back-end;Small Wooden Gloves Expanded viral;Incredible Integration;Bedfordshire navigating;27970;false;Auto Loan Account Avon Forward
8;Wyoming Texas;tan Markets;Solomon Islands;whiteboard EXE;transmitter Soft orange;Incredible utilize Keyboard;Future-proofed Metrics North Carolina;generating Granite FTP;Investment Account Rubber Legacy;Gloves Cambridgeshire revolutionize;14637;true;Steel Brooks
9;Concrete Associate;parse Cotton;task-force Cambridgeshire;attitude-oriented quantifying;red;Credit Card Account intuitive;Awesome Soft Mouse Ferry;Cambridgeshire;Generic Metal Gloves Administrator Devolved;Rustic;78269;false;Intelligent
10;Convertible Marks Home Loan Account invoice;open-source;orange Soap;Suriname models;optical;Ports pink;Iraq Buckinghamshire;interface;Supervisor Inverse Granite;Jewelery logistical;76028;true;sky blue
